NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Typical Weekday,5:45 AM,5:15 PM,,,,9,856,753,103,,58,52,6,,,,,,,,,96,,,723,254,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,PT,Annual Total,,,53,67,,,"1,362,531","1,176,460","186,071",,"94,495","82,990","11,505",,,,,,,,,"138,673","138,673",,"1,059,698",,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,PT,Average Typical Saturday,5:40 AM,11:30 PM,,,,23,"2,294","1,941",353,,161,141,20,,,,,,,,,233,,,"1,615",52,,,,,,
00003,Pierce County Transportation Benefit Area Authority,Full Reporter,,Urban,DR,PT,Average Typical Sunday,6:18 AM,10:40 PM,,,,17,"1,630","1,348",282,,111,95,16,,,,,,,,,161,,,"1,175",59,,,,,,
